date,price,market_cap,total_volume
2017-12-04,42.3859699976025,2755088049.84416,134827087.027571
2017-12-05,40.1784235867262,2611597533.13721,63163489.4234824
2017-12-06,35.8702528972636,2331566438.32213,9639159.74760771
2017-12-07,37.3067452667492,2424938442.3387,87202368.0797933
2017-12-08,37.531680745478,2439559248.45607,109907269.796603
2017-12-09,36.2887762935711,2358770459.08212,78306363.6317524
2017-12-10,33.4466513799142,2174032339.69442,57221363.7377654
2017-12-11,36.2224740224385,2354460811.4585,62387909.7886412
2017-12-12,40.6933353677101,2645066798.90115,91471607.4645328
2017-12-13,44.7482510733043,2908636319.76478,256625843.573954
2017-12-14,51.8143893804451,3367935309.72893,237838588.964727
2017-12-15,48.9067357577744,3178937824.25534,204117097.600451
2017-12-16,50.3151946492927,3270487652.20402,158407260.639554
2017-12-17,70.1676850970059,4560899531.30538,473336314.157099
2017-12-18,78.1200673850572,5077804380.02872,420401726.079509
2017-12-19,72.7414323093628,4728193100.10858,272727479.27123
2017-12-20,77.5350179689408,5039776167.98115,315543535.121594
2017-12-21,73.8383936417618,4799495586.71451,223240415.356401
2017-12-22,56.6587012655487,3682815582.26066,287083169.114854
2017-12-23,62.7384740860818,4078000815.59532,110814347.451511
2017-12-24,61.5023680114027,3997653920.74118,158372070.299053
2017-12-25,67.4812834043542,4386283421.28302,139401686.770224
2017-12-26,68.802302288746,4472149648.76849,192856576.618659
2017-12-27,70.6866188989045,4594630228.42879,125106031.637531
2017-12-28,68.7503584729003,4468773300.73852,92361559.6733772
2017-12-29,76.7939936721167,4991609588.68759,124071935.035543
2017-12-30,77.3392166342513,5027049081.22634,166071041.152553
2017-12-31,80.8084570912343,5252549710.93023,143210478.949862
2018-01-01,82.9192972150453,5389754318.97795,123635723.298992
2018-01-02,92.729231800837,6027400067.05441,339701376.930264
2018-01-03,106.30560210013293,6909864136.50864,260649824.39210483
2018-01-04,103.55584416085705,6731129870.4557085,309155668.98065096
2018-01-05,101.88581782350397,6622578158.527759,267865694.19678202
2018-01-06,106.74258983986502,6938268339.591227,168171783.65962726
2018-01-07,106.07137046555629,6894639080.261159,165090714.2826974
2018-01-08,106.82823833326282,6943835491.662083,211676240.39635056
2018-01-09,135.0453684652203,8777948950.239319,534283527.03769857
2018-01-10,127.06429479607125,8259179161.744632,338579963.0166954
2018-01-11,113.2090689371411,7358589480.914171,252108966.17343867
2018-01-12,131.2747960249162,8532861741.619554,216645181.77171513
2018-01-13,148.7662283896541,9669804845.327517,441596566.3957407
2018-01-14,180.6163828835441,11740064887.430367,639058802.4883163
2018-01-15,198.38136805361725,12894788923.48512,1108544469.0057209
2018-01-16,148.0241211103145,9621567872.170443,1049616816.8481587
2018-01-17,144.4151131320144,9386982353.580936,934703411.1466533
2018-01-18,145.579121551712,9462642900.86128,455942508.4738595
2018-01-19,142.39031951973476,9255370768.78276,271854379.04955333
2018-01-20,155.1241905161142,10083072383.547422,290764508.6977606
2018-01-21,133.7954099076522,8696701643.997395,187107266.41878748
2018-01-22,124.955358714339,8122098316.432035,209892718.69368014
2018-01-23,122.2412676848246,7945682399.513599,165005503.8191106
2018-01-24,136.19759397589564,8852843608.433216,243228056.6519547
2018-01-25,138.51704332110356,9003607815.87173,169094040.11707124
2018-01-26,137.1750470582816,8916378058.788303,163635121.57172012
2018-01-27,139.88693047968272,9092650481.179377,103250508.51822083
2018-01-28,150.70042749849782,9795527787.402357,144569790.64448217
2018-01-29,165.29966840715298,10744478446.464943,335362510.74280155
2018-01-30 00:05:23 UTC,163.1931947147375,10607557656.457937,316095668.56921273
2018-01-31,141.72565723272223,9212167720.126945,332307487.12375146
2018-02-01,143.4939893729563,9327109309.242159,195934526.99846646
2018-02-02,124.74960798478845,8108724519.01125,239808682.79320508
2018-02-03,121.19958913021955,7877973293.464271,361166252.6461285
2018-02-04,121.1651532810286,7875734963.266859,147372243.2923901
2018-02-05,109.674153472978,7128819975.74357,133254444.2611805
2018-02-06,81.76430998868256,5314680149.264366,230269782.10804683
2018-02-07,106.72727728261498,6937273023.369974,511062993.0070138
2018-02-08 00:05:20 UTC,101.38941389530518,6590311903.194838,321949956.88478094
2018-02-09,109.0655698534615,7089262040.4749975,89601673.03024043
2018-02-10,114.39633533842323,7435761796.997509,126850365.7582007
2018-02-11,107.76532645876692,7004746219.81985,190589339.74253127
2018-02-12,103.2238031459294,6709547204.485411,153451320.3463882
2018-02-13,112.27495154950755,7297871850.717991,158620809.0623431
2018-02-14,108.41297727974569,7046843523.18347,91211642.83158423
2018-02-15,121.69556810248874,7910211926.661768,151170416.06764448
2018-02-16,121.75084263600895,7913804771.340582,143389438.3824415
2018-02-17,127.15401772444835,8265011152.089143,122545763.82846747
2018-02-18,135.9590744285902,8837339837.858364,157985094.3876562
2018-02-19,125.77769320827615,8175550058.53795,126438662.16278304
2018-02-20,135.80813745696173,8827528934.702513,129574778.55088934
2018-02-21,128.13276121698814,8328629479.104229,143308777.94967785
2018-02-22,112.81894080232084,7333231152.150854,128707114.9215159
2018-02-23,113.35814749092215,7368279586.90994,129993145.50901406
2018-02-24,121.03479614670253,7867261749.535665,126826441.111314
2018-02-25,115.86926651518951,7531502323.487318,95374674.30659695
2018-02-26,118.50234712428662,7702652563.0786295,67456467.78819975
2018-02-27,132.92021936771837,8639814258.901693,263940719.92229104
2018-02-28,141.42919535663506,9192897698.181278,296191969.68029714
2018-03-01,130.8628603531964,8506085922.957766,200900911.40825513
2018-03-02,128.21550522203918,8334007839.432547,217917920.7206096
